CustomerID,AddressID,AddressType,rowguid,ModifiedDate
29485,1086,"Main Office",16765338-dbe4-4421-b5e9-3836b9278e63,2007-09-01 00:00:00.0000000
29486,621,"Main Office",22b3e910-14af-4ed5-8b4d-23bbe757414d,2005-09-01 00:00:00.0000000
29489,1069,"Main Office",a095c88b-d7e6-4178-a078-2eca44214801,2005-07-01 00:00:00.0000000
29490,887,"Main Office",f12e1702-d897-4035-b614-0fe2c72168a9,2006-09-01 00:00:00.0000000
29492,618,"Main Office",5b3b3eb2-3f43-47ed-a20c-23697dabf23b,2006-12-01 00:00:00.0000000
29494,537,"Main Office",492d92b6-31af-47ea-8e00-7c11c7ccc20d,2005-09-01 00:00:00.0000000
29496,1072,"Main Office",0a66b0f3-24bc-4148-9661-26e935cec99a,2007-09-01 00:00:00.0000000
29497,889,"Main Office",7e0b56fd-7324-4898-bedb-2f56a843bb0f,2005-07-01 00:00:00.0000000
29499,527,"Main Office",c90cb0c3-976a-4075-a2b9-13136f4f1a92,2006-09-01 00:00:00.0000000
29502,893,"Main Office",8acb1c6a-7cdf-417b-afd5-9f4c642f3c7e,2007-07-01 00:00:00.0000000
29503,32,"Shipping",be00ffc6-194b-44e9-a129-dfbeb8f1301f,2006-08-01 00:00:00.0000000
29503,541,"Main Office",6811dbe3-1f02-440c-932e-a54f403b3e51,2006-08-01 00:00:00.0000000
29505,1083,"Main Office",740a06af-77f1-45ca-b284-38537324f86a,2007-05-01 00:00:00.0000000
29506,1082,"Main Office",dd51a14d-45f5-44e9-bf3b-260f0e08e545,2007-08-01 00:00:00.0000000
29508,619,"Main Office",2dd326f6-02da-44b7-96fb-b3a86067c5ee,2005-12-01 00:00:00.0000000
29510,540,"Main Office",af6dcc27-dccb-40de-9445-3f4990aabd28,2005-08-01 00:00:00.0000000
29511,1046,"Main Office",61cb8c51-7c96-4306-8050-56c90504972b,2005-08-01 00:00:00.0000000
29515,504,"Main Office",a5f1a232-3cce-4149-9892-de9895bc0f07,2005-08-01 00:00:00.0000000
29517,794,"Main Office",db4d3044-7bf4-4d65-b48e-3ff927a842f0,2007-08-01 00:00:00.0000000
29521,1054,"Main Office",c0f708c3-9147-44c4-b6cb-fd5b765343c0,2005-08-01 00:00:00.0000000
29522,1040,"Main Office",997006d9-674c-4153-86d0-2efa7e1febf4,2005-08-01 00:00:00.0000000
29523,593,"Main Office",15d1e8b0-e626-465c-a565-98500b56c077,2005-08-01 00:00:00.0000000
29524,599,"Main Office",75724647-82a0-49c5-a841-f991bbaebe18,2007-08-01 00:00:00.0000000
29525,1049,"Main Office",e1e5af17-d958-4a88-b537-444f2be24538,2005-09-01 00:00:00.0000000
29527,512,"Main Office",decef565-c5d1-4396-a45f-27c635833b31,2007-09-01 00:00:00.0000000
29528,788,"Main Office",65c98567-6a79-44f0-be71-264547362402,2006-09-01 00:00:00.0000000
29530,495,"Main Office",2a12a463-dca0-480f-83d6-ab58a43e1d24,2006-09-01 00:00:00.0000000
29531,1061,"Main Office",14e08cfe-cf7e-4e76-a5fd-7624cae2482e,2005-12-01 00:00:00.0000000
29532,881,"Main Office",4ac4ecbe-4775-492a-8776-41237d7c6aba,2006-10-01 00:00:00.0000000
29533,801,"Main Office",cd6229c0-a0fa-4a48-b4e1-d1c02437caa8,2005-07-01 00:00:00.0000000
29535,591,"Main Office",26821e31-0e0e-4d73-a494-34f630b636c4,2006-09-01 00:00:00.0000000
29536,786,"Main Office",efa08457-c8d8-4daf-a27f-bf6dfaf76863,2006-12-01 00:00:00.0000000
29539,480,"Main Office",6f7dda53-7b9d-4710-aeb9-20ea0ea5098b,2005-08-01 00:00:00.0000000
29541,467,"Main Office",22b4d3bb-6af2-4d40-8f84-10fad8d5a74f,2005-11-01 00:00:00.0000000
29544,519,"Main Office",b1d3b3fa-e485-4f4c-b781-b4efb273dedc,2006-08-01 00:00:00.0000000
29545,11,"Shipping",3d88495a-776e-414a-a91e-6d8979a35d86,2007-04-01 00:00:00.0000000
29545,834,"Main Office",6e047f2b-6170-47bb-8d14-8a0702d1eb17,2007-04-01 00:00:00.0000000
29546,635,"Main Office",bff85ebd-ccd0-4daa-afbb-b415edf44265,2006-09-01 00:00:00.0000000
29548,498,"Main Office",1419ea0f-f8ee-4d5b-9e5f-90fc3a9999ca,2005-08-01 00:00:00.0000000
29550,853,"Main Office",68f33bff-28c2-4adf-a6f0-ef5ed52c0172,2007-09-01 00:00:00.0000000
29553,581,"Main Office",6332ec14-ce8a-48ac-b1c2-476077e07952,2007-09-01 00:00:00.0000000
29554,776,"Main Office",316172fc-ba5f-4a48-86e0-5213a7f59059,2005-11-01 00:00:00.0000000
29557,513,"Main Office",d3e8fa3e-72b0-4059-a99f-ed52f631e72c,2007-09-01 00:00:00.0000000
29558,500,"Main Office",c646937c-7b2b-4284-994c-11d7bf5e1f21,2005-08-01 00:00:00.0000000
